Program,Program Type,Academic Year,App Cycle,Preferred Pronouns,Itinerary Start,Location,Country,Student Cumulative GPA,Major,College
Exchange Bilateral Australia: La Trobe University,Exchange,,Academic Year 2007,,,,Australia,,,
Exchange Bilateral Australia: University of New England,Exchange,,Academic Year 2007,,,,Australia,,,
Exchange Bilateral Germany: University of Bonn,Exchange,,Academic Year 2007,,09/01/2007,"Bonn, Germany",Germany,,,
Exchange Bilateral Germany: University of Bonn,Exchange,,Academic Year 2007,,09/01/2007,"Bonn, Germany",Germany,,,
Exchange Bilateral Japan: International Christian University,Exchange,,Academic Year 2007,,09/03/2007,"Tokyo, Japan",Japan,,,
Exchange Bilateral Japan: Kansai Gaidai University,Exchange,,Academic Year 2007,,,,Japan,,,
Exchange Bilateral Japan: Nihon University,Exchange,,Academic Year 2007,,,,Japan,,,
Exchange ISEP Spain: Universidad Alfonso X el Sabio,Exchange,,Academic Year 2007,,,,Spain,,,
Exchange Bilateral Wales: Aberystwyth University,Exchange,,Academic Year 2007,,09/24/2007,"Aberystwyth, United Kingdom",United Kingdom,,,
Exchange Bilateral Wales: Aberystwyth University,Exchange,,Academic Year 2007,,09/24/2007,"Aberystwyth, United Kingdom",United Kingdom,,,
Exchange Bilateral Wales: Swansea University,Exchange,,Academic Year 2007,,09/22/2007,"Swansea, United Kingdom",United Kingdom,,,
Exchange Bilateral France: IEP Bordeaux,Exchange,,Academic Year 2007,,,,France,,,
Exchange Bilateral France: IEP Lille,Exchange,,Academic Year 2007,,,,France,,,
Exchange Bilateral Scotland: University of Stirling,Exchange,,Academic Year 2007,,,,United Kingdom,,,
Incoming Exchange Bilateral: Various,Incoming,,Academic Year 2009,,,,USA,,,
Incoming Exchange Bilateral: Various,Incoming,,Academic Year 2009,,,,USA,,,
Incoming Exchange Bilateral: Various,Incoming,,Academic Year 2009,,,,USA,,,
Incoming Exchange Bilateral: Various,Incoming,,Academic Year 2009,,,,USA,,,
Incoming Exchange Bilateral: Various,Incoming,,Academic Year 2009,,,,USA,,,
Incoming Exchange Bilateral: Various,Incoming,,Academic Year 2009,,,,USA,,,
Incoming Exchange Bilateral: Various,Incoming,,Academic Year 2009,,,,USA,,,
Incoming Exchange Bilateral: Various,Incoming,,Academic Year 2009,,,,USA,,,
Incoming Exchange Bilateral: Various,Incoming,,Academic Year 2009,,,,USA,,,
Incoming Exchange Bilateral: Various,Incoming,,Academic Year 2009,,,,USA,,,
Incoming Exchange Bilateral: Various,Incoming,,Academic Year 2009,,,,USA,,,
Incoming Exchange Bilateral: Various,Incoming,,Academic Year 2009,,,,USA,,,
Incoming Exchange Bilateral: Various,Incoming,,Academic Year 2009,,,,USA,,,
Incoming Exchange Bilateral: Various,Incoming,,Academic Year 2010,,,,USA,,,
